"","aircraft","dep_time","est_arr_time","flight_no","origin"
"979","B763","Sat 06:04AM","Sat 05:44AM"," DSM7820","Ministro Pistarini Int'l (EZE / SAEZ)"
"983","B772","Fri 11:31PM","Sat 06:21AM"," AAL906","Sí£o Paulo-Guarulhos Int'l (GRU / SBGR)"
"985","B772","Fri 10:44PM","Sat 06:05AM"," AAL908","Ministro Pistarini Int'l (EZE / SAEZ)"
"995","B77W","Fri 09:18PM","Sat 04:12AM"," AAL930","Sí£o Paulo-Guarulhos Int'l (GRU / SBGR)"
"997","B772","Fri 08:47PM","Sat 03:55AM"," AAL904","Rio de Janeiro/Galeao Intl (GIG / SBGL)"
"1000","B763","Sat 01:52AM","Sat 05:16AM"," AJT850","Johan Adolf Pengel Int'l (Zanderij Int'l) (PBM / SMJP)"
"1003","B772","Fri 09:01PM","Sat 04:32AM"," AAL900","Ministro Pistarini Int'l (EZE / SAEZ)"
"1006","B763","Fri 07:46PM","Sat 03:58AM"," AAL984","Carrasco Int'l (MVD / SUMU)"
"8","A319","Sun 03:25PM","Sun 07:23PM"," AAL1128","Jose Maria Cordova Int'l (MDE / SKRG)"
"15","A319","Sun 03:24PM","Sun 07:31PM"," AAL1134","Matecana Int'l (PEI / SKPE)"
"27","A319","Sun 03:25PM","Sun 07:23PM"," AAL1128","Jose Maria Cordova Int'l (MDE / SKRG)"
"34","A319","Sun 03:24PM","Sun 07:31PM"," AAL1134","Matecana Int'l (PEI / SKPE)"
"43","B763","Sun 12:48PM","Sun 07:03PM"," LPE2462","Jorge Chavez Int'l (LIM / SPJC)"
"46","A319","Sun 02:34PM","Sun 06:52PM"," AAL916","El Dorado Int'l (BOG / SKBO)"
"60","A320","Sun 03:14PM","Sun 06:42PM"," AVA34","Rafael Nunez Int'l (CTG / SKCG)"
"83","A319","Sun 02:40PM","Sun 06:04PM"," AAL1144","Rafael Nunez Int'l (CTG / SKCG)"
"85","A332","Sun 01:48PM","Sun 05:58PM"," TPA4010","El Dorado Int'l (BOG / SKBO)"
"113","A319","Sun 01:06PM","Sun 05:28PM"," AVA4","El Dorado Int'l (BOG / SKBO)"
"124","A330","Sun 10:36AM","Sun 04:49PM"," TPU962","Jorge Chavez Int'l (LIM / SPJC)"
"136","A319","Sun 01:16PM","Sun 04:43PM"," AAL1124","Ernesto Cortissoz Int'l (BAQ / SKBQ)"
"162","B77L","Sun 11:15AM","Sun 03:49PM"," QTR8152","Mariscal Sucre Int'l (UIO / SEQM)"
"166","A320","Sun 11:20AM","Sun 03:34PM"," AVA38","Alfonso Bonilla Aragon Int'l (CLO / SKCL)"
"207","A320","Sun 11:04AM","Sun 03:01PM"," VVC300","Jose Maria Cordova Int'l (MDE / SKRG)"
"208","B748","Sun 11:00AM","Sun 02:56PM"," GTI80","El Dorado Int'l (BOG / SKBO)"
"232","B752","Sun 07:44AM","Sun 02:05PM"," AAL1558","Jorge Chavez Int'l (LIM / SPJC)"
"238","A320","Sun 09:55AM","Sun 01:47PM"," AVA30","Jose Maria Cordova Int'l (MDE / SKRG)"
