"","aircraft","dep_time","est_arr_time","flight_no","origin"
"386","E145","Sun 06:59AM","Sun 09:12AM"," ENY3775","John Glenn Columbus Intl Airport (KCMH)"
"387","A321","Sun 07:03AM","Sun 09:10AM"," AAL391","Reagan National (KDCA)"
"388","A319","Sun 07:37AM","Sun 09:08AM"," AAL770","Charlotte/Douglas Intl (KCLT)"
"391","E75S","Sun 07:18AM","Sun 09:01AM"," RPA4699","McGhee Tyson (KTYS)"
"393","CL35","Sun 08:19AM","Sun 08:57AM"," EJA751","Orlando Intl (KMCO)"
"397","A321","Sun 05:52AM","Sun 08:45AM"," AAL1418","Boston Logan Intl (KBOS)"
"400","A319","Sun 06:08AM","Sun 08:31AM"," AAL1020","Detroit Metro Wayne Co (KDTW)"
"402","E75L","Sun 07:04AM","Sun 08:23AM"," RPA4466","Charleston Intl/AFB (KCHS)"
"404","B738","Sun 06:11AM","Sun 08:56AM"," AAL146","Bradley Intl (KBDL)"
"405","B738","Sun 07:10AM","Sun 08:50AM"," AAL1088","Raleigh-Durham Intl (KRDU)"
"409","E145","Sun 06:26AM","Sun 08:33AM"," ENY3638","Cincinnati/Northern Kentucky International Airport (KCVG)"
"412","A319","Sun 07:39AM","Sun 08:20AM"," AAL2352","Orlando Intl (KMCO)"
"414","A319","Sun 06:46AM","Sun 08:07AM"," AAL1177","Hartsfield-Jackson Intl (KATL)"
"415","B738","Sun 05:56AM","Sun 08:00AM"," AAL1178","Reagan National (KDCA)"
"417","A319","Sun 07:07AM","Sun 07:44AM"," AAL2179","Tampa Intl (KTPA)"
"420","B738","Sun 06:37AM","Sun 07:17AM"," AAL1479","Orlando Intl (KMCO)"
"421","E145","Sun 06:16AM","Sun 07:15AM"," ENY3570","Tallahassee Intl (KTLH)"
"422","E170","Sun 06:15AM","Sun 07:13AM"," RPA4428","Jacksonville Intl (KJAX)"
"423","E75L","Sun 05:49AM","Sun 07:03AM"," RPA4379","Charleston Intl/AFB (KCHS)"
"424","B735","Sun 07:29AM","Sun 08:03AM"," BHS221","Lynden Pindling Int'l (Nassau) (NAS / MYNN)"
"428","B738","Sun 05:12AM","Sun 07:24AM"," AAL1183","Baltimore/Washington Intl (KBWI)"
"430","E75L","Sun 06:08AM","Sun 07:15AM"," RPA4273","Savannah/Hilton Head Intl (KSAV)"
"431","A319","Sun 06:40AM","Sun 07:13AM"," AAL1977","Tampa Intl (KTPA)"
"432","A319","Sun 05:23AM","Sun 07:11AM"," AAL1059","Norfolk Intl (KORF)"
"433","B738","Sun 05:39AM","Sun 07:01AM"," AAL1151","Hartsfield-Jackson Intl (KATL)"
"445","E75S","Sun 06:13AM","Sun 06:43AM"," RPA4549","Key West Intl (KEYW)"
"463","B763","Sun 01:01AM","Sun 03:11AM"," GTI3509","Baltimore/Washington Intl (KBWI)"
"482","A320","Sat 09:58PM","Sun 12:18AM"," UAL1537","Newark Liberty Intl (KEWR)"
"483","A319","Sat 09:36PM","Sat 11:55PM"," AAL2410","LaGuardia (KLGA)"
"493","A320","Sat 11:14PM","Sat 11:53PM"," DAL527","Jose Marti Int'l (HAV / MUHA)"
"495","B738","Sat 08:50PM","Sat 11:26PM"," UAL1469","Newark Liberty Intl (KEWR)"
"498","B738","Sat 09:14PM","Sat 10:45PM"," AAL2501","Charlotte/Douglas Intl (KCLT)"
"500","E145","Sat 08:07PM","Sat 10:18PM"," ENY3820","Cincinnati/Northern Kentucky International Airport (KCVG)"
"502","A320","Sat 08:39PM","Sat 10:05PM"," DAL1863","Hartsfield-Jackson Intl (KATL)"
"503","A321","Sat 10:25PM","Sat 11:46PM"," DAL2008","Hartsfield-Jackson Intl (KATL)"
"505","A321","Sat 08:53PM","Sat 11:20PM"," DAL2756","John F Kennedy Intl (KJFK)"
"506","B738","Sat 08:41PM","Sat 11:11PM"," AAL1506","Newark Liberty Intl (KEWR)"
"510","B738","Sat 09:35PM","Sat 10:16PM"," AAL2696","Jose Marti Int'l (HAV / MUHA)"
"512","A319","Sat 07:17PM","Sat 10:04PM"," AAL2569","Toronto Pearson Int'l (CYYZ)"
"516","A321","Sat 08:12PM","Sat 09:43PM"," AAL457","Charlotte/Douglas Intl (KCLT)"
"517","A319","Sat 07:23PM","Sat 09:37PM"," AAL275","Baltimore/Washington Intl (KBWI)"
"521","E170","Sat 08:00PM","Sat 09:28PM"," RPA4617","Hartsfield-Jackson Intl (KATL)"
"523","A319","Sat 08:46PM","Sat 10:00PM"," AAL1661","Charleston Intl/AFB (KCHS)"
"525","B738","Sat 06:45PM","Sat 09:45PM"," AAL1170","Boston Logan Intl (KBOS)"
"526","E145","Sat 07:32PM","Sat 09:40PM"," ENY3670","Richmond Intl (KRIC)"
"527","B738","Sat 07:02PM","Sat 09:36PM"," AAL959","John F Kennedy Intl (KJFK)"
"528","A319","Sat 07:25PM","Sat 09:33PM"," AAL293","Reagan National (KDCA)"
"529","E145","Sat 07:02PM","Sat 09:31PM"," ENY3645","Cleveland-Hopkins Intl (KCLE)"
"530","A319","Sat 07:47PM","Sat 09:29PM"," AAL1521","Raleigh-Durham Intl (KRDU)"
"531","B738","Sat 06:17PM","Sat 09:28PM"," AAL29","Boston Logan Intl (KBOS)"
"534","A321","Sat 08:29PM","Sat 09:09PM"," AAL1194","Orlando Intl (KMCO)"
"535","B738","Sat 08:18PM","Sat 09:04PM"," AAL2482","Jose Marti Int'l (HAV / MUHA)"
"540","E75L","Sat 06:34PM","Sat 08:37PM"," RPA4344","Louisville Muhammad Ali International Airport (KSDF)"
"541","E170","Sat 06:46PM","Sat 08:32PM"," RPA4347","Piedmont Triad Intl (KGSO)"
"543","A319","Sat 06:07PM","Sat 09:11PM"," ROU1652","Montreal-Trudeau (CYUL)"
"546","E75S","Sat 07:21PM","Sat 08:57PM"," RPA4421","McGhee Tyson (KTYS)"
"549","E75L","Sat 07:49PM","Sat 08:44PM"," RPA4686","Jacksonville Intl (KJAX)"
"550","E75L","Sat 08:11PM","Sat 08:35PM"," RPA4481","Key West Intl (KEYW)"
"552","A320","Sat 05:42PM","Sat 08:27PM"," DAL1727","LaGuardia (KLGA)"
"553","A319","Sat 06:01PM","Sat 08:25PM"," AAL1803","Reagan National (KDCA)"
"554","B738","Sat 05:48PM","Sat 08:21PM"," AAL1457","LaGuardia (KLGA)"
"556","B738","Sat 07:41PM","Sat 08:16PM"," AAL2624","Tampa Intl (KTPA)"
"557","E145","Sat 05:53PM","Sat 08:13PM"," ENY3834","John Glenn Columbus Intl Airport (KCMH)"
"559","E145","Sat 08:03PM","09:42PM (?)"," ENY3378","Greenville/Spartanburg Intl (KGSP)"
"561","A321","Sat 06:29PM","Sat 07:52PM"," DAL2025","Hartsfield-Jackson Intl (KATL)"
"563","E75S","Sat 07:45PM","Sat 08:23PM"," RPA4560","Lynden Pindling Int'l (Nassau) (NAS / MYNN)"
"565","E145","Sat 05:57PM","Sat 08:17PM"," ENY4230","Pittsburgh Intl (KPIT)"
"566","B738","Sat 06:49PM","Sat 08:14PM"," AAL2552","Hartsfield-Jackson Intl (KATL)"
"567","B763","Sat 05:48PM","Sat 08:12PM"," AAL2595","Philadelphia Intl (KPHL)"
"569","A320","Sat 05:26PM","Sat 08:01PM"," DAL2385","John F Kennedy Intl (KJFK)"
"575","E145","Sat 05:41PM","Sat 07:43PM"," ENY3367","Norfolk Intl (KORF)"
"579","B735","Sat 06:45PM","Sat 07:24PM"," BHS229","Lynden Pindling Int'l (Nassau) (NAS / MYNN)"
"580","A321","Sat 04:23PM","Sat 07:23PM"," AAL1249","LaGuardia (KLGA)"
"582","A321","Sat 05:08PM","Sat 07:50PM"," ROU1642","Toronto Pearson Int'l (CYYZ)"
"586","B738","Sat 04:46PM","Sat 07:34PM"," AAL1556","LaGuardia (KLGA)"
"587","E145","Sat 06:55PM","Sat 07:28PM"," ENY4174","Grand Bahama Int'l (Freeport Int'l) (FPO / MYGF)"
"595","B772","Sat 04:46PM","Sat 07:10PM"," AAL243","John F Kennedy Intl (KJFK)"
"601","A321","Sat 05:22PM","Sat 06:48PM"," DAL1956","Hartsfield-Jackson Intl (KATL)"
"602","E75L","Sat 06:38PM","Sat 07:17PM"," RPA4348","Lynden Pindling Int'l (Nassau) (NAS / MYNN)"
"607","A321","Sat 04:25PM","Sat 06:59PM"," AAL2571","Philadelphia Intl (KPHL)"
"608","A319","Sat 06:22PM","Sat 06:58PM"," AAL669","Tampa Intl (KTPA)"
"611","E545","Sat 03:45PM","Sat 06:47PM"," LXJ416","Teterboro (KTEB)"
"613","E75L","Sat 05:50PM","Sat 06:43PM"," RPA4673","Exuma Int'l (GGT / MYEF)"
"623","B738","Sat 05:07PM","Sat 06:43PM"," AAL85","Charlotte/Douglas Intl (KCLT)"
"631","B763","Sat 04:03PM","Sat 06:07PM"," GTI3016","Cincinnati/Northern Kentucky International Airport (KCVG)"
"636","E170","Sat 04:24PM","Sat 05:53PM"," RPA4407","Hartsfield-Jackson Intl (KATL)"
"639","E75L","Sat 05:06PM","Sat 05:43PM"," RPA4692","Lynden Pindling Int'l (Nassau) (NAS / MYNN)"
"640","","Sat 03:23PM","Sat 05:40PM"," CSQ704","Port-au-Prince Intl (PAP / MTPP)"
"644","C56X","Sat 05:35PM","Sat 05:58PM"," N886CP","Palm Beach Intl (KPBI)"
"661","A321","Sat 02:50PM","Sat 05:02PM"," AAL990","Reagan National (KDCA)"
"662","C56X","Sat 05:12PM","Sat 05:31PM"," EJA618","Palm Beach Intl (KPBI)"
"663","MD88","Sat 04:04PM","Sat 05:30PM"," DAL1998","Hartsfield-Jackson Intl (KATL)"
"668","E145","Sat 03:40PM","Sat 05:09PM"," ENY3861","Tallahassee Intl (KTLH)"
"670","B738","Sat 03:43PM","Sat 05:03PM"," AAL1527","Providenciales Int'l (PLS / MBPV)"
"672","A321","Sat 03:23PM","Sat 04:57PM"," AAL1609","Charlotte/Douglas Intl (KCLT)"
"674","E145","Sat 02:10PM","Sat 04:51PM"," ENY3677","Cleveland-Hopkins Intl (KCLE)"
"677","E145","Sat 02:16PM","Sat 04:44PM"," ENY3483","Indianapolis Intl (KIND)"
"678","E145","Sat 02:17PM","Sat 04:43PM"," ENY3334","Pittsburgh Intl (KPIT)"
"680","A321","Sat 03:51PM","Sat 04:37PM"," AAL1362","Orlando Intl (KMCO)"
"687","E75L","Sat 03:35PM","Sat 04:43PM"," RPA4629","Jacksonville Intl (KJAX)"
"689","B738","Sat 02:09PM","Sat 04:39PM"," AAL1114","Philadelphia Intl (KPHL)"
"690","E145","Sat 03:17PM","Sat 04:36PM"," ENY4233","Charleston Intl/AFB (KCHS)"
"694","E75S","Sat 03:48PM","Sat 04:26PM"," RPA4458","Lynden Pindling Int'l (Nassau) (NAS / MYNN)"
"697","A319","Sat 01:32PM","Sat 04:14PM"," AAL2676","Toronto Pearson Int'l (CYYZ)"
"698","A321","Sat 01:45PM","Sat 04:12PM"," DAL1469","LaGuardia (KLGA)"
"699","A319","Sat 01:36PM","Sat 04:10PM"," UAL1415","Newark Liberty Intl (KEWR)"
"704","A320","Sat 02:03PM","Sat 04:26PM"," FFT2335","Philadelphia Intl (KPHL)"
"709","E170","Sat 03:43PM","Sat 04:08PM"," RPA4396","Key West Intl (KEYW)"
"715","B738","Sat 02:18PM","Sat 03:53PM"," AAL903","Port-au-Prince Intl (PAP / MTPP)"
"718","A319","Sat 12:30PM","Sat 03:40PM"," ROU1650","Montreal-Trudeau (CYUL)"
"719","E145","Sat 01:19PM","Sat 03:36PM"," ENY459G","Cincinnati/Northern Kentucky International Airport (KCVG)"
"720","E145","Sat 01:18PM","Sat 03:33PM"," ENY3459","Cincinnati/Northern Kentucky International Airport (KCVG)"
"722","A319","Sat 02:29PM","Sat 03:59PM"," AAL2828","Hartsfield-Jackson Intl (KATL)"
"723","B763","Sat 01:23PM","Sat 03:57PM"," AAL291","John F Kennedy Intl (KJFK)"
"724","A319","Sat 01:26PM","Sat 03:55PM"," DAL2535","Detroit Metro Wayne Co (KDTW)"
"725","B738","Sat 01:26PM","Sat 03:53PM"," AAL1601","LaGuardia (KLGA)"
"726","MD88","Sat 02:20PM","Sat 03:49PM"," DAL1224","Hartsfield-Jackson Intl (KATL)"
"728","B735","Sat 02:45PM","Sat 03:39PM"," BHS825","San Salvador (Cockburn Town) (ZSA / MYSM)"
"732","B763","Sat 01:04PM","Sat 03:28PM"," AAL1623","Philadelphia Intl (KPHL)"
"734","A319","Sat 12:51PM","Sat 03:24PM"," AAL2512","Detroit Metro Wayne Co (KDTW)"
"738","E145","Sat 12:44PM","Sat 03:10PM"," ENY3332","John Glenn Columbus Intl Airport (KCMH)"
"740","E75S","Sat 02:12PM","Sat 03:05PM"," RPA4409","Marsh Harbour (MHH / MYAM)"
"741","B738","Sat 12:17PM","Sat 03:04PM"," AAL1571","John F Kennedy Intl (KJFK)"
"747","A320","Sat 12:39PM","Sat 03:12PM"," DAL2175","John F Kennedy Intl (KJFK)"
"751","B738","Sat 12:17PM","Sat 03:04PM"," AAL1571","John F Kennedy Intl (KJFK)"
"752","E145","Sat 01:32PM","Sat 03:03PM"," ENY3941","Charleston Intl/AFB (KCHS)"
"754","A319","Sat 12:47PM","Sat 02:57PM"," AAL1048","Reagan National (KDCA)"
"757","B733","Sat 02:12PM","Sat 02:48PM"," SWQ9625","Melbourne Intl (KMLB)"
"760","A319","Sat 02:40PM","03:20PM (?)"," AAL2584","Tampa Intl (KTPA)"
"763","E75L","Sat 01:02PM","Sat 02:57PM"," RPA4384","Norfolk Intl (KORF)"
"764","A319","Sat 01:09PM","Sat 02:56PM"," AAL2397","Raleigh-Durham Intl (KRDU)"
"766","B734","Sat 02:09PM","Sat 02:49PM"," SWQ704","Jose Marti Int'l (HAV / MUHA)"
"767","E55P","Sat 02:26PM","Sat 02:47PM"," EJA417","Palm Beach Intl (KPBI)"
"768","E75L","Sat 02:04PM","Sat 02:44PM"," RPA4433","Lynden Pindling Int'l (Nassau) (NAS / MYNN)"
"770","MD88","Sat 01:13PM","Sat 02:40PM"," DAL2373","Hartsfield-Jackson Intl (KATL)"
"771","MD88","Sat 01:13PM","Sat 02:40PM"," DAL2373","Hartsfield-Jackson Intl (KATL)"
"772","E75L","Sat 01:16PM","Sat 02:37PM"," RPA4385","Providenciales Int'l (PLS / MBPV)"
"774","B734","Sat 01:44PM","Sat 02:28PM"," SWQ33","Orlando Intl (KMCO)"
"776","MD90","Sat 12:42PM","Sat 02:08PM"," DAL1795","Hartsfield-Jackson Intl (KATL)"
"779","A319","Sat 11:30AM","Sat 01:41PM"," AAL2278","Reagan National (KDCA)"
"781","B738","Sat 02:37PM","04:11PM (?)"," AAL2732","Cap-Haitien Int'l (CAP / MTCH)"
"784","E145","Sat 01:41PM","Sat 02:21PM"," ENY3511","North Eleuthera (ELH / MYEH)"
"785","B738","Sat 11:44AM","Sat 02:10PM"," AAL1060","Newark Liberty Intl (KEWR)"
"787","B738","Sat 01:07PM","Sat 01:48PM"," AAL2706","Jose Marti Int'l (HAV / MUHA)"
"794","E145","Sat 12:13PM","Sat 01:09PM"," ENY4181","Jacksonville Intl (KJAX)"
"798","E75L","Sat 12:19PM","Sat 12:46PM"," RPA4558","Key West Intl (KEYW)"
"799","B738","Sat 12:01PM","Sat 12:44PM"," AAL1334","Jose Marti Int'l (HAV / MUHA)"
"801","B738","Sat 12:48PM","Sat 01:24PM"," AAL2834","Lynden Pindling Int'l (Nassau) (NAS / MYNN)"
"802","C68A","Sat 12:53PM","Sat 01:14PM"," EJA591","Naples Muni (KAPF)"
"808","E145","Sat 12:17PM","Sat 12:44PM"," ENY3489","Grand Bahama Int'l (Freeport Int'l) (FPO / MYGF)"
"810","E75L","Sat 11:17AM","Sat 12:35PM"," RPA4550","Providenciales Int'l (PLS / MBPV)"
"816","A320","Sat 09:06AM","Sat 11:50AM"," ROU1640","Toronto Pearson Int'l (CYYZ)"
"817","B738","Sat 09:18AM","Sat 11:47AM"," AAL1533","Philadelphia Intl (KPHL)"
"818","B738","Sat 09:08AM","Sat 11:42AM"," AAL970","LaGuardia (KLGA)"
"819","","Sat 10:58AM","Sat 11:36AM"," SWQ503","Jose Marti Int'l (HAV / MUHA)"
"820","MD88","Sat 10:09AM","Sat 11:34AM"," DAL2405","Hartsfield-Jackson Intl (KATL)"
"821","B738","Sat 11:48AM","Sat 12:27PM"," AAL260","Orlando Intl (KMCO)"
"823","A320","Sat 11:30AM","Sat 12:14PM"," DAL650","Jose Marti Int'l (HAV / MUHA)"
"826","BE35","Sat 09:47AM","Sat 11:48AM"," CORONA","Northeast Florida Rgnl (KSGJ)"
"828","B738","Sat 10:07AM","Sat 11:40AM"," AAL342","Charlotte/Douglas Intl (KCLT)"
"831","","Sat 10:44AM","Sat 11:25AM"," SWQ2202","Jose Marti Int'l (HAV / MUHA)"
"835","A319","Sat 08:46AM","Sat 11:14AM"," DAL1829","Detroit Metro Wayne Co (KDTW)"
"836","B738","Sat 08:31AM","Sat 11:11AM"," AAL1610","John F Kennedy Intl (KJFK)"
"837","E145","Sat 10:11AM","Sat 11:08AM"," ENY3552","Jacksonville Intl (KJAX)"
"839","A319","Sat 09:30AM","Sat 10:59AM"," AAL2717","Hartsfield-Jackson Intl (KATL)"
"840","E75S","Sat 10:51AM","Sat 11:29AM"," RPA4590","Lynden Pindling Int'l (Nassau) (NAS / MYNN)"
